Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 1,Berlin,3500,3,0,980,2940,1029.0,2471.0,1911.0,35.0,29.4,0.0,3900,504.9,7.72,1713.67,0.088,391.02,5.87,0.001504,,
Tier 1,Berlin,3500,3,3,980,2940,1381.8,2118.2,1558.2,47.0,39.48,379.5,5850,591.24,9.89,723.64,0.133,525.08,7.88,0.001346,0.625,12.0
Tier 1,Berlin,3500,3,5,980,2940,1617.0,1883.0,1323.0,55.0,46.2,632.5,7150,648.8,11.02,63.61,0.162,614.46,9.22,0.001289,0.625,12.0
Tier 1,Berlin,3500,3,8,980,2940,1969.8,1530.2,970.2,67.0,56.28,1012.0,9100,735.14,12.38,-926.43,0.206,748.52,11.23,0.001234,0.625,12.0
Tier 1,Berlin,3500,3,10,980,2940,2058.0,1442.0,882.0,70.0,58.8,1265.0,10400,748.6,13.89,-2076.78,0.236,782.04,11.73,0.001128,0.625,12.0
Tier 1,Berlin,3500,3,12,980,2940,2058.0,1442.0,882.0,70.0,58.8,1518.0,11700,735.6,15.91,-3521.31,0.265,782.04,11.73,0.001003,0.625,12.0
Tier 1,Berlin,3500,5,0,980,4900,1715.0,1785.0,3185.0,35.0,49.0,0.0,6500,841.5,7.72,2856.12,0.088,651.7,9.78,0.001504,,
Tier 1,Berlin,3500,5,3,980,4900,2303.0,1197.0,2597.0,47.0,65.8,379.5,8450,998.4,8.46,2650.6,0.115,875.14,13.13,0.001554,0.625,12.0
Tier 1,Berlin,3500,5,5,980,4900,2695.0,805.0,2205.0,55.0,77.0,632.5,9750,1103.0,8.84,2513.58,0.133,1024.1,15.36,0.001576,0.625,12.0
Tier 1,Berlin,3500,5,8,980,4900,3283.0,217.0,1617.0,67.0,93.8,1012.0,11700,1259.9,9.29,2308.06,0.159,1247.54,18.71,0.001599,0.625,12.0
Tier 1,Berlin,3500,5,10,980,4900,3430.0,70.0,1470.0,70.0,98.0,1265.0,13000,1291.0,10.07,1353.84,0.177,1303.4,19.55,0.001504,0.625,12.0
