Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 2,Freiburg,5000,10,8,1150,11500,5000.0,0.0,6500.0,43.48,100.0,924.0,18200,2238.0,8.13,6682.95,0.106,1900.0,28.5,0.001566,0.625,12.0
Tier 2,Freiburg,5000,10,10,1150,11500,5000.0,0.0,6500.0,43.48,100.0,1155.0,19500,2225.0,8.76,5238.41,0.113,1900.0,28.5,0.001462,0.625,12.0
Tier 2,Freiburg,5000,10,12,1150,11500,5000.0,0.0,6500.0,43.48,100.0,1386.0,20800,2212.0,9.4,3793.87,0.121,1900.0,28.5,0.00137,0.625,12.0
Tier 3,Cottbus,5000,10,12,1030,10300,5000.0,0.0,5300.0,48.54,100.0,1214.4,20800,2116.0,9.83,2726.51,0.135,1900.0,28.5,0.00137,0.625,12.0
Tier 1,Berlin,5000,10,5,980,9800,5000.0,0.0,4800.0,51.02,100.0,632.5,16250,2121.5,7.66,7337.66,0.111,1900.0,28.5,0.001754,0.625,12.0
Tier 1,Berlin,5000,10,8,980,9800,5000.0,0.0,4800.0,51.02,100.0,1012.0,18200,2102.0,8.66,5170.85,0.124,1900.0,28.5,0.001566,0.625,12.0
Tier 1,Berlin,5000,10,12,980,9800,5000.0,0.0,4800.0,51.02,100.0,1518.0,20800,2076.0,10.02,2281.77,0.141,1900.0,28.5,0.00137,0.625,12.0
Tier 2,Leipzig,5000,10,5,1000,10000,5000.0,0.0,5000.0,50.0,100.0,550.0,16250,2137.5,7.6,7515.55,0.108,1900.0,28.5,0.001754,0.625,12.0
Tier 2,Leipzig,5000,10,10,1000,10000,5000.0,0.0,5000.0,50.0,100.0,1100.0,19500,2105.0,9.26,3904.21,0.13,1900.0,28.5,0.001462,0.625,12.0
Tier 2,Leipzig,5000,10,8,1000,10000,5000.0,0.0,5000.0,50.0,100.0,880.0,18200,2118.0,8.59,5348.74,0.121,1900.0,28.5,0.001566,0.625,12.0
