Tier,City,Household Load kWh/year,PV Size kW,Battery Size kWh,PV Yield kWh/kW/year,Annual PV Generation kWh,PV Used by Household kWh,Grid Import kWh,Grid Export kWh,Self Consumption Ratio %,Self Sufficiency Ratio %,Peak Grid Reduction Proxy kWh/year,System Cost EUR,Annual Net Benefit EUR,Payback Years,NPV EUR,LCOE Proxy EUR/kWh,CO2 Savings kg/year,Lifetime CO2 Savings tonnes,CO2 Savings tonnes per EUR,Battery Final Health,Battery Replacement Year
Tier 2,Freiburg,5000,5,0,1150,5750,2012.5,2987.5,3737.5,35.0,40.25,0.0,6500,998.75,6.51,4604.49,0.075,764.75,11.47,0.001765,,
Tier 2,Freiburg,5000,7,0,1150,8050,2817.5,2182.5,5232.5,35.0,56.35,0.0,9100,1398.25,6.51,6446.29,0.075,1070.65,16.06,0.001765,,
Tier 2,Freiburg,5000,3,0,1150,3450,1207.5,3792.5,2242.5,35.0,24.15,0.0,3900,599.25,6.51,2762.69,0.075,458.85,6.88,0.001765,,
Tier 2,Freiburg,4200,3,0,1150,3450,1207.5,2992.5,2242.5,35.0,28.75,0.0,3900,599.25,6.51,2762.69,0.075,458.85,6.88,0.001765,,
Tier 2,Freiburg,4200,5,0,1150,5750,2012.5,2187.5,3737.5,35.0,47.92,0.0,6500,998.75,6.51,4604.49,0.075,764.75,11.47,0.001765,,
Tier 2,Freiburg,5000,10,0,1150,11500,4025.0,975.0,7475.0,35.0,80.5,0.0,13000,1997.5,6.51,9208.98,0.075,1529.5,22.94,0.001765,,
Tier 2,Freiburg,4200,10,0,1150,11500,4025.0,175.0,7475.0,35.0,95.83,0.0,13000,1997.5,6.51,9208.98,0.075,1529.5,22.94,0.001765,,
Tier 2,Freiburg,4200,7,0,1150,8050,2817.5,1382.5,5232.5,35.0,67.08,0.0,9100,1398.25,6.51,6446.29,0.075,1070.65,16.06,0.001765,,
Tier 2,Freiburg,3500,7,0,1150,8050,2817.5,682.5,5232.5,35.0,80.5,0.0,9100,1398.25,6.51,6446.29,0.075,1070.65,16.06,0.001765,,
Tier 2,Freiburg,3500,3,0,1150,3450,1207.5,2292.5,2242.5,35.0,34.5,0.0,3900,599.25,6.51,2762.69,0.075,458.85,6.88,0.001765,,
